"Rank","Player","Year","Pos","Team","AAV",""
"","Kevin Lankinen","2023","G","NSH","$2,000,000",""
"","Jeremy Lauzon","2023","D","NSH","$2,000,000",""
"","Nico Sturm","2023","C","SJS","$2,000,000",""
"","Sean Monahan","2023","C","MTL","$1,985,000",""
"","Sonny Milano","2023","LW","WAS","$1,900,000",""
"","Colin Miller","2023","D","DAL","$1,850,000",""
"","Jacob Bryson","2023","D","BUF","$1,850,000",""
"","Filip Zadina","2023","RW","DET","$1,825,000",""
"","Jordan Martinook","2023","LW","CAR","$1,800,000",""
"","Isac Lundestrom","2023","C","ANA","$1,800,000",""
"","Casey DeSmith","2023","G","PIT","$1,800,000",""
"","Eric Comrie","2023","G","BUF","$1,800,000",""
"","Barrett Hayton","2023","C","ARI","$1,775,000",""
"","Cal Clutterbuck","2023","RW","NYI","$1,750,000",""
"","Nicolas Deslauriers","2023","LW","PHI","$1,750,000",""
"","Travis Boyd","2023","LW","ARI","$1,750,000",""
"","Sean Durzi","2023","D","LAK","$1,700,000",""
"","Ryan Hartman","2023","RW","MIN","$1,700,000",""
"","Jake Evans","2023","C","MTL","$1,700,000",""
"","Yakov Trenin","2023","C","NSH","$1,700,000",""
"","Blake Lizotte","2023","C","LAK","$1,675,000",""
"","Eric Robinson","2023","LW","CBJ","$1,600,000",""
"","Alexandre Texier","2023","C","CBJ","$1,525,000",""
"","Matt Martin","2023","LW","NYI","$1,500,000",""
"","Eetu Luostarinen","2023","C","FLA","$1,500,000",""
"","Brandon Hagel","2023","LW","TBL","$1,500,000",""
"","Pheonix Copley","2023","G","LAK","$1,500,000",""
"","Owen Tippett","2023","RW","PHI","$1,500,000",""
"","Jani Hakanpaa","2023","D","DAL","$1,500,000",""
"","Michael Rasmussen","2023","C","DET","$1,460,000",""
"","Eeli Tolvanen","2023","RW","SEA","$1,450,000",""
"","Philippe Myers","2023","D","TBL","$1,400,000",""
"","Timothy Liljegren","2023","D","TOR","$1,400,000",""
"","Jordan Harris","2023","D","MTL","$1,400,000",""
"","William Carrier","2023","LW","VGK","$1,400,000",""
"","Keegan Kolesar","2023","RW","VGK","$1,400,000",""
"","Rasmus Sandin","2023","D","WAS","$1,400,000",""
"","Riley Stillman","2023","D","BUF","$1,350,000",""
"","Carl Grundstrom","2023","RW","LAK","$1,300,000",""
"","Nic Dowd","2023","C","WAS","$1,300,000",""
"","Max Jones","2023","LW","ANA","$1,295,000",""
"","Joshua Brown","2023","D","ARI","$1,275,000",""
"","Jarred Tinordi","2023","D","CHI","$1,250,000",""
"","Matthew Benning","2023","D","SJS","$1,250,000",""
"","Nikolai Knyzhov","2023","D","SJS","$1,250,000",""
"","Nicolas Aube-Kubel","2023","RW","WAS","$1,225,000",""
"","Colin Blackwell","2023","C","CHI","$1,200,000",""
"","Jon Merrill","2023","D","MIN","$1,200,000",""
"","Sam Lafferty","2023","C","TOR","$1,150,000",""
"","Jakub Zboril","2023","D","BOS","$1,137,500",""
"","Nick Perbix","2023","D","TBL","$1,125,000",""
"","Ross Johnston","2023","LW","NYI","$1,100,000",""
"","Nick Cousins","2023","C","FLA","$1,100,000",""
"","Conor Timmins","2023","D","TOR","$1,100,000",""
"","Rem Pitlick","2023","C","MTL","$1,100,000",""
"","Mathieu Olivier","2023","RW","CBJ","$1,100,000",""
"","Charlie Lindgren","2023","G","WAS","$1,100,000",""
"","Brendan Smith","2023","D","NJD","$1,100,000",""
"","Logan O'Connor","2023","C","COL","$1,050,000",""
"","Daniil Tarasov","2023","G","CBJ","$1,050,000",""
"","Steven Lorentz","2023","C","SJS","$1,050,000",""
"","Samuel Blais","2023","LW","STL","$1,000,000",""
"","Patrick Maroon","2023","LW","TBL","$1,000,000",""
"","Samuel Montembeault","2023","G","MTL","$1,000,000",""
"","Juuso Valimaki","2023","D","ARI","$1,000,000",""
"","Scott Wedgewood","2023","G","DAL","$1,000,000",""
"","Curtis Lazar","2023","C","NJD","$1,000,000",""
"","Kurtis Macdermid","2023","D","COL","$987,500",""
"","Justin Danforth","2023","RW","CBJ","$975,000",""
"","Robert Bortuzzo","2023","D","STL","$950,000",""
"","Cole Guttman","2023","C","CHI","$950,000",""
"","Juraj Slafkovsky","2023","LW","MTL","$4,450,000",""
"","Devon Levi","2023","G","BUF","$1,566,667",""
"","Dylan Holloway","2023","C","EDM","$1,441,667",""
"","Matthew Coronato","2023","RW","CGY","$1,491,667",""
"","Anton Lundell","2023","C","FLA","$1,775,000",""
"","Joshua Mahura","2023","D","FLA","$925,000",""
"","Braden Schneider","2023","D","NYR","$1,325,000",""
"","Jack Drury","2023","C","CAR","$925,000",""
"","Jake Sanderson","2023","D","OTT","$2,133,333",""
"","Matthew Knies","2023","LW","TOR","$925,000",""
"","Vasily Podkolzin","2023","RW","VAN","$1,775,000",""
"","Jackson Lacombe","2023","D","ANA","$1,387,500",""
"","Nikita Nesterenko","2023","C","ANA","$925,000",""
"","Justin Barron","2023","D","MTL","$1,158,333",""
"","Kent Johnson","2023","C","CBJ","$1,850,000",""
"","Kirill Marchenko","2023","LW","CBJ","$1,562,500",""
"","Cole Sillinger","2023","C","CBJ","$1,633,333",""
"","Nils Lundkvist","2023","D","DAL","$1,775,000",""
"","Jonatan Berggren","2023","RW","DET","$925,000",""
"","Luke Hughes","2023","D","NJD","$1,850,000",""
"","Lucas Raymond","2023","RW","DET","$3,425,000",""
"","Marco Kasper","2023","C","DET","$1,950,000",""
"","Owen Power","2023","D","BUF","$1,850,000",""
"","Henry Thrun","2023","D","SJS","$1,031,250",""
"","Derek Ryan","2023","C","EDM","$900,000",""
"","Emil Bemstrom","2023","C","CBJ","$900,000",""
"","Matthew Beniers","2023","C","SEA","$1,850,000",""
"","Seth Jarvis","2023","RW","CAR","$925,000",""
"","Quinton Byfield","2023","C","LAK","$3,575,000",""
"","Arthur Kaliyev","2023","RW","LAK","$1,066,667",""
"","Mason Mctavish","2023","C","ANA","$3,425,000",""
"","Wyatt Johnston","2023","C","DAL","$1,031,250",""
"","Cole Perfetti","2023","C","WPG","$1,658,333",""
"","Dawson Mercer","2023","RW","NJD","$1,350,000",""
"","Janis Moser","2023","D","ARI","$925,000",""
"","Nils Åman","2023","C","VAN","$925,000",""
"","Peyton Krebs","2023","C","BUF","$1,337,500",""
"","Jack Quinn","2023","RW","BUF","$1,775,000",""
"","Philip Broberg","2023","D","EDM","$1,775,000",""
"","Simon Holmstrom","2023","RW","NYI","$925,000",""
"","Ryan Suzuki","2023","C","CAR","$925,000",""
"","Kaiden Guhle","2023","D","MTL","$1,345,000",""
"","Victor Soderstrom","2023","D","ARI","$1,585,000",""
