"Rank","Player","Year","Pos","Team","AAV",""
"","CeeDee Lamb","2023","WR","DAL","$3,502,503",""
"","Desmond King","2023","CB","HOU","$3,500,000",""
"","Mike Gesicki","2023","TE","NE","$4,500,000",""
"","Xavier Woods","2023","S","CAR","$5,000,000",""
"","Russell Gage","2023","WR","TB","$10,000,000",""
"","Rasul Douglas","2023","CB","GB","$7,000,000",""
"","Jordan Love","2023","QB","GB","$13,500,000",""
"","Chris Olave","2023","WR","NO","$4,817,969",""
"","Jamel Dean","2023","CB","TB","$13,000,000",""
"","Cornelius Lucas","2023","LT","WAS","$3,250,000",""
"","Austin Jackson","2023","RT","MIA","$3,410,086",""
"","Alijah Vera-Tucker","2023","RT","NYJ","$3,971,257",""
"","Tim Settle","2023","DT","BUF","$4,500,000",""
"","Malik Hooker","2023","S","DAL","$3,500,000",""
"","Bryce Huff","2023","LB","NYJ","$4,304,000",""
"","Terence Steele","2023","T","DAL","$4,304,000",""
"","Yosh Nijman","2023","T","GB","$4,304,000",""
"","Aaron Brewer","2023","C","TEN","$4,304,000",""
"","Teair Tart","2023","DT","TEN","$4,304,000",""
"","Emmanuel Moseley","2023","CB","DET","$6,000,000",""
"","Dalvin Tomlinson","2023","DT","CLE","$14,250,000",""
"","Sheldon Rankins","2023","DT","HOU","$9,750,000",""
"","Mac Jones","2023","QB","NE","$3,896,588",""
"","Lorenzo Carter","2023","OLB","ATL","$4,500,000",""
"","Daniel Carlson","2023","K","LV","$4,600,000",""
"","K’Lavon Chaisson","2023","OLB","JAC","$3,336,153",""
"","Tyrann Mathieu","2023","FS","NO","$9,433,333",""
"","Patrick Peterson","2023","CB","PIT","$7,000,000",""
"","Dennis Gardeck","2023","OLB","ARI","$3,333,333",""
"","Darius Slayton","2023","WR","NYG","$6,000,000",""
"","Justin Jefferson","2023","WR","MIN","$3,280,701",""
"","Andrew Wylie","2023","T","WAS","$8,000,000",""
"","John Franklin-Myers","2023","DE","NYJ","$13,750,000",""
"","Chuck Clark","2023","SS","NYJ","$5,100,000",""
"","Carl Granderson","2023","DE","NO","$2,632,500",""
"","Kenneth Murray","2023","ILB","LAC","$3,243,735",""
"","Wil Lutz","2023","K","NO","$4,050,000",""
"","Patrick Ricard","2023","FB","BAL","$3,750,000",""
"","Avonte Maddox","2023","CB","PHI","$7,500,000",""
"","Kalif Raymond","2023","WR","DET","$2,500,000",""
"","Cesar Ruiz","2023","G","NO","$3,169,801",""
"","Bradley Roby","2023","CB","NO","$10,500,000",""
"","Darren Waller","2023","TE","NYG","$17,000,000",""
"","Zaven Collins","2023","ILB","ARI","$3,672,564",""
"","Phil Haynes","2023","G","SEA","$4,000,000",""
"","Drew Lock","2023","QB","SEA","$4,000,000",""
"","Connor McGovern","2023","G","BUF","$7,450,000",""
"","Eric Kendricks","2023","ILB","LAC","$6,625,000",""
"","Bijan Robinson","2023","RB","ATL","$5,489,634",""
"","Brandon Aiyuk","2023","WR","SF","$3,132,836",""
"","Jalen Carter","2023","DT","PHI","$5,451,504",""
"","Tee Higgins","2023","WR","CIN","$2,171,696",""
"","Michael Pittman Jr.","2023","WR","IND","$2,153,213",""
"","Odell Beckham, Jr.","2023","WR","BAL","$15,000,000",""
"","Josh Reynolds","2023","WR","DET","$3,000,000",""
"","Julian Love","2023","FS","SEA","$6,000,000",""
"","Jordyn Brooks","2023","ILB","SEA","$3,058,902",""
"","Patrick Queen","2023","ILB","BAL","$3,040,418",""
"","Jordan Davis","2023","DT","PHI","$4,252,320",""
"","Eric Murray","2023","FS","HOU","$4,000,000",""
"","Ian Thomas","2023","TE","CAR","$5,650,000",""
"","Robert Hunt","2023","G","MIA","$2,016,435",""
"","DaVon Hamilton","2023","DT","JAC","$11,500,000",""
"","Jaelan Phillips","2023","OLB","MIA","$3,504,551",""
"","Darnell Wright","2023","T","CHI","$5,242,067",""
"","Mike Purcell","2023","DT","DEN","$3,833,333",""
"","Jason Sanders","2023","K","MIA","$4,400,000",""
